,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
385,koster,-25.86,26.9,49.46,43,0,7.99,ZA,1596139798
386,udachnyy,66.42,112.4,51.8,71,0,6.71,RU,1596139798
387,mackay,-21.15,149.2,48.2,87,0,5.82,AU,1596139799
388,ouallam,14.32,2.09,97.43,32,0,7.87,NE,1596139799
389,lima,-12.04,-77.03,62.6,72,90,10.29,PE,1596139781
390,ambon,-3.7,128.18,79.0,14,91,1.01,ID,1596139799
391,ilheus,-14.79,-39.05,73.29,76,0,6.91,BR,1596139800
392,pangnirtung,66.15,-65.71,53.6,87,90,2.24,CA,1596139800
393,meiganga,6.52,14.3,66.0,95,91,2.75,CM,1596139800
394,kloulklubed,7.04,134.26,77.0,94,75,3.44,PW,1596139801
395,sisophon,13.59,102.97,77.5,84,100,7.25,KH,1596139801
396,broome,42.25,-75.83,81.0,64,40,9.17,US,1596139618
397,houma,29.6,-90.72,95.0,66,40,6.93,US,1596139530
398,voznesenye,61.01,35.48,58.46,75,1,11.23,RU,1596139802
399,cacador,-26.78,-51.02,54.77,69,0,5.21,BR,1596139802
400,amapa,1.0,-52.0,83.82,66,100,1.03,BR,1596139802
401,acajutla,13.59,-89.83,91.4,49,40,3.36,SV,1596139594
402,baglung,28.27,83.59,71.04,80,92,0.69,NP,1596139803
403,jacqueville,5.21,-4.41,77.0,88,20,5.82,CI,1596139803
404,buje,45.41,13.66,81.0,74,0,8.05,HR,1596139803
405,leh,34.17,77.58,61.3,42,98,2.75,IN,1596139804
406,traralgon,-38.18,146.53,34.0,97,1,1.92,AU,1596139804
407,caravelas,-17.71,-39.25,73.53,70,0,6.62,BR,1596139800
408,sao jose da coroa grande,-8.9,-35.15,75.49,79,16,13.87,BR,1596139745
409,korla,41.76,86.15,79.0,74,0,16.69,CN,1596139805
410,manokwari,-0.87,134.08,78.6,78,37,4.83,ID,1596139805
411,roma,43.21,-75.46,82.4,48,40,11.41,US,1596139565
412,madimba,-10.4,40.33,71.6,88,20,9.17,TZ,1596139806
413,pangkalanbuun,-2.68,111.62,71.17,96,73,1.68,ID,1596139675
414,iquitos,-3.75,-73.25,86.0,74,40,3.36,PE,1596139806
415,chiredzi,-21.05,31.67,63.19,32,0,4.5,ZW,1596139807
416,nouadhibou,20.93,-17.03,71.92,89,63,5.14,MR,1596139807
417,berlevag,70.86,29.09,50.0,93,75,6.93,NO,1596139807
418,palaia fokaia,37.72,23.95,87.01,30,0,6.93,GR,1596139807
419,atar,20.52,-13.05,93.63,35,100,4.88,MR,1596139808
420,vestmannaeyjar,63.44,-20.27,53.6,81,75,6.93,IS,1596139808
421,half moon bay,37.46,-122.43,72.0,87,90,10.29,US,1596139707
422,phetchaburi,12.97,99.58,74.7,87,58,1.99,TH,1596139808
423,rurrenabaque,-14.44,-67.53,80.49,39,0,2.93,BO,1596139808
424,sainte-maxime,43.3,6.63,82.4,74,0,3.36,FR,1596139809
425,jiexiu,37.02,111.91,73.45,66,9,1.79,CN,1596139809
426,bacolod,10.67,122.95,78.19,78,100,5.88,PH,1596139809
427,altamira,-3.2,-52.21,91.4,46,75,2.24,BR,1596139809
428,ozernovskiy,51.5,156.52,53.89,95,100,5.23,RU,1596139810
429,okakarara,-20.58,17.43,53.82,38,0,6.71,NA,1596139810
430,ayan,56.45,138.17,54.86,90,100,6.69,RU,1596139810
431,sao francisco de assis,-29.55,-55.13,57.42,77,4,11.45,BR,1596139810
432,inirida,3.87,-67.92,85.15,69,1,4.27,CO,1596139811
433,bekhtery,46.25,32.29,77.0,73,25,4.47,UA,1596139811
434,izhmorskiy,56.19,86.64,50.13,97,5,4.21,RU,1596139811
435,oriximina,-1.77,-55.87,87.46,49,84,3.69,BR,1596139811
436,orotukan,62.27,151.7,42.01,87,100,7.0,RU,1596139812
437,zafra,38.42,-6.42,95.0,26,0,9.17,ES,1596139812
438,pout,14.77,-17.06,82.4,78,40,11.41,SN,1596139812
439,coburg,50.27,10.97,72.0,52,16,4.43,DE,1596139812
440,kunri,25.18,69.57,89.15,62,86,12.71,PK,1596139812
441,winnemucca,40.97,-117.74,98.6,7,1,8.05,US,1596139813
442,sinnamary,5.38,-52.95,83.57,69,18,6.96,GF,1596139813
443,acarau,-2.89,-40.12,80.65,68,99,17.4,BR,1596139813
444,zykovo,55.95,93.15,60.8,87,100,8.95,RU,1596139814
445,auki,-8.77,160.7,77.94,84,56,2.19,SB,1596139814
446,victoria,22.29,114.16,84.0,70,50,8.99,HK,1596139664
447,tautira,-17.73,-149.15,84.2,70,40,5.82,PF,1596139814
448,canavieiras,-15.68,-38.95,74.12,75,0,6.35,BR,1596139815
449,dunedin,-45.87,170.5,54.0,56,100,3.69,NZ,1596139736
450,edd,13.93,41.69,87.1,66,100,7.14,ER,1596139816
451,annau,37.89,58.52,82.4,42,75,13.87,TM,1596139816
452,necochea,-38.55,-58.74,50.0,69,100,15.01,AR,1596139817
453,kuching,1.55,110.33,77.0,94,40,3.36,MY,1596139817
454,mujiayingzi,42.12,118.78,72.37,66,100,8.03,CN,1596139818
455,airai,-8.93,125.41,53.31,69,8,3.44,TL,1596139818
456,port hedland,-20.32,118.57,55.4,50,3,8.05,AU,1596139764
457,ojinaga,29.57,-104.42,100.4,25,1,5.64,MX,1596139818
458,gornopravdinsk,60.05,69.9,53.89,81,92,2.66,RU,1596139818
459,vardo,70.37,31.11,51.8,93,20,8.05,NO,1596139819
460,ulaanbaatar,47.91,106.88,50.0,93,0,4.47,MN,1596139819
461,mana,5.66,-53.78,83.23,67,24,6.89,GF,1596139565
462,bathsheba,13.22,-59.52,86.0,74,40,11.41,BB,1596139819
463,mahon,39.89,4.27,80.6,78,0,5.82,ES,1596139740
464,luangwa,-15.62,30.42,65.19,50,0,2.68,ZM,1596139820
465,tabuk,17.42,121.44,74.77,92,100,3.49,PH,1596139820
466,marzuq,14.4,46.47,80.78,57,100,6.51,YE,1596139821
467,mayumba,-3.43,10.66,71.89,82,55,6.49,GA,1596139821
468,thai nguyen,21.59,105.84,86.0,74,20,2.24,VN,1596139821
469,preobrazheniye,42.9,133.91,66.11,90,4,7.11,RU,1596139821
470,grindavik,63.84,-22.43,51.8,87,75,8.05,IS,1596139822
471,umm kaddadah,13.6,26.69,86.16,49,64,14.65,SD,1596139822
472,itupiranga,-5.13,-49.33,98.6,29,75,5.82,BR,1596139822
473,sistranda,63.73,8.83,57.99,93,75,9.17,NO,1596139822
474,norrkoping,58.59,16.18,60.8,87,93,5.82,SE,1596139823
475,dubrovnik,42.65,18.09,78.8,74,0,3.36,HR,1596139709
476,westerland,54.91,8.3,60.8,72,94,10.29,DE,1596139823
477,spencer,43.14,-95.14,80.6,42,1,16.11,US,1596139572
478,burley,42.54,-113.79,93.2,26,1,13.87,US,1596139824
479,ilinskiy,55.62,38.12,57.2,82,0,4.47,RU,1596139656
480,temir,49.14,57.13,72.23,36,0,1.48,KZ,1596139824
481,tamiahua,21.27,-97.45,88.25,60,71,9.53,MX,1596139824
482,elizabeth city,36.29,-76.25,96.01,59,20,10.29,US,1596139825
483,terney,45.05,136.61,67.68,84,57,3.09,RU,1596139825
484,uthal,25.81,66.62,85.51,76,70,7.63,PK,1596139825
485,viedma,-40.81,-63.0,52.0,53,100,4.0,AR,1596139826
486,keskin,39.67,33.61,77.0,45,0,1.99,TR,1596139826
487,cawayan,9.97,122.62,79.7,79,100,7.36,PH,1596139826
488,antalaha,-14.9,50.28,68.76,84,5,6.58,MG,1596139826
489,luanshya,-13.14,28.42,59.76,58,0,7.0,ZM,1596139826
490,wegorzewo,54.22,21.74,55.78,90,98,8.46,PL,1596139827
491,kajaani,64.23,27.73,57.2,82,100,9.17,FI,1596139827
492,portland,45.52,-122.68,88.0,37,1,6.93,US,1596139754
493,tual,-5.67,132.75,78.58,81,100,24.25,ID,1596139827
494,sorong,-0.88,131.25,78.04,87,50,9.62,ID,1596139827
495,angoche,-16.23,39.91,71.51,62,0,13.06,MZ,1596139828
496,quarai,-30.39,-56.45,55.67,76,1,10.63,BR,1596139828
497,maceio,-9.67,-35.74,77.0,65,75,10.29,BR,1596139829
498,obala,4.17,11.53,71.6,94,20,3.36,CM,1596139624
499,naushki,50.38,106.11,58.69,87,0,1.43,RU,1596139829
500,puerto padre,21.2,-76.6,89.6,59,75,19.46,CU,1596139829
501,santa cecilia,-26.96,-50.43,48.92,80,42,5.23,BR,1596139829
502,henties bay,-22.12,14.28,62.01,82,0,8.05,NA,1596139830
503,emerald,-23.53,148.17,51.8,50,0,10.29,AU,1596139715
504,sinegorye,62.08,150.48,41.45,82,100,7.67,RU,1596139830
505,anloga,5.79,0.9,77.0,83,20,13.87,GH,1596139830
506,ust-kishert,57.37,57.25,64.33,94,100,8.79,RU,1596139831
507,aklavik,68.22,-135.01,68.0,64,90,2.24,CA,1596139831
508,moron,-34.65,-58.62,59.0,38,23,11.41,AR,1596139573
509,limoeiro do ajuru,-1.9,-49.38,88.79,54,100,0.47,BR,1596139831
510,aborlan,9.44,118.55,78.28,88,100,12.19,PH,1596139832
511,atocha,-20.93,-66.23,50.88,33,2,10.89,BO,1596139832
512,montepuez,-13.13,39.0,69.28,62,27,9.4,MZ,1596139832
513,thyboron,56.7,8.21,55.99,85,56,1.01,DK,1596139833
514,alghero,40.56,8.32,84.2,62,0,1.12,IT,1596139833
515,vanino,49.09,140.25,64.6,97,92,6.35,RU,1596139833
516,tutoia,-2.76,-42.27,81.32,72,97,8.59,BR,1596139833
517,veraval,20.9,70.37,83.26,84,100,10.85,IN,1596139834
518,haines junction,60.75,-137.51,73.17,43,0,8.08,CA,1596139834
519,beyneu,45.32,55.2,71.82,46,0,4.56,KZ,1596139834
520,gat,31.61,34.76,82.99,58,0,0.67,IL,1596139802
521,olsztyn,53.78,20.49,55.4,76,60,2.24,PL,1596139535
522,kupang,-10.17,123.58,69.85,78,4,8.97,ID,1596139835
523,terrace,54.52,-128.6,77.0,38,40,9.17,CA,1596139835
524,ust-shonosha,61.15,41.34,54.07,87,7,6.4,RU,1596139836
525,jieshi,22.81,115.83,82.27,80,13,15.08,CN,1596139836
526,canmore,51.08,-115.35,75.99,69,1,3.67,CA,1596139801
527,mount gambier,-37.83,140.77,41.0,93,23,8.05,AU,1596139837
528,pontes e lacerda,-15.23,-59.34,89.02,26,0,6.17,BR,1596139837
529,eyl,7.98,49.82,79.88,74,0,27.49,SO,1596139837
530,agropoli,40.35,15.0,86.0,68,0,3.0,IT,1596139837
531,zlitan,32.47,14.57,78.78,76,0,8.12,LY,1596139747
532,ust-nera,64.57,143.2,51.21,50,19,4.36,RU,1596139838
533,voh,-20.97,164.7,71.08,88,58,2.15,NC,1596139838
534,nalut,30.33,10.85,84.92,19,0,13.42,LY,1596139838
535,williamsport,41.24,-77.0,87.01,54,1,5.82,US,1596139839
536,ambovombe,-25.17,46.08,64.65,82,0,8.12,MG,1596139839
537,tombouctou,20.0,-3.0,96.89,28,99,19.37,ML,1596139839
538,orebro,59.27,15.21,63.0,82,100,4.7,SE,1596139839
539,mindelo,16.89,-24.98,75.49,81,15,16.24,CV,1596139840
540,olga,43.74,135.29,66.13,92,99,2.68,RU,1596139840
541,ati,13.22,18.34,85.6,55,34,13.82,TD,1596139840
542,sao joao da barra,-21.64,-41.05,69.8,94,75,6.93,BR,1596139840
543,alofi,-19.06,-169.92,69.8,77,40,11.41,NU,1596139841
544,vao,-22.67,167.48,72.57,89,18,20.6,NC,1596139841
545,palana,59.12,159.97,47.41,90,87,4.76,RU,1596139727
546,foam lake,51.65,-103.53,84.0,58,0,4.43,CA,1596139841
547,rona de sus,47.9,24.05,73.4,78,0,5.82,RO,1596139841
548,ranong,9.97,98.63,80.85,80,99,9.46,TH,1596139842
549,hadgaon,19.5,77.67,79.61,82,100,4.83,IN,1596139842
